ballx	ballz	joint0	joint1	joint2
10.06201171875	34.57769012451172	8.0	37.0	30.0
15.194189071655273	11.242531776428223	76.0	51.0	78.0
12.474501609802246	25.53060531616211	7.0	91.0	14.0
15.22439956665039	31.65498161315918	29.0	39.0	21.0
20.760116577148438	7.309417247772217	116.0	5.0	65.0
12.958354949951172	12.430731773376465	57.0	98.0	34.0
23.37228012084961	14.994251251220703	87.0	1.0	52.0
19.4521484375	6.821066856384277	110.0	7.0	74.0
11.801348686218262	23.992050170898438	9.0	91.0	28.0
24.006301879882812	12.0775785446167	91.0	23.0	21.0
23.68486213684082	23.168842315673828	73.0	17.0	2.0
15.254081726074219	2.0748159885406494	115.0	76.0	5.0
9.661111831665039	22.055936813354492	31.0	50.0	109.0
6.848252296447754	6.6740217208862305	99.0	93.0	64.0
13.004958152770996	25.15226936340332	18.0	75.0	37.0
5.667346000671387	12.268264770507812	69.0	119.0	60.0
8.79605484008789	21.36729621887207	20.0	76.0	84.0
19.909103393554688	21.800506591796875	54.0	34.0	47.0
19.680953979492188	26.923423767089844	50.0	21.0	37.0
6.221198081970215	18.334758758544922	52.0	92.0	116.0
6.259761333465576	36.778812408447266	6.0	1.0	56.0
12.236515045166016	24.045795440673828	5.0	104.0	3.0
13.84092903137207	8.19930362701416	115.0	11.0	120.0
11.496321678161621	17.404691696166992	53.0	56.0	105.0
12.195854187011719	16.898056030273438	62.0	41.0	118.0
16.757631301879883	5.822788238525391	91.0	62.0	35.0
8.39981460571289	37.05413818359375	12.0	37.0	5.0
18.290380477905273	7.257880210876465	112.0	2.0	89.0
10.52647876739502	21.777843475341797	15.0	91.0	48.0
13.017240524291992	33.267311096191406	28.0	12.0	51.0
6.42357063293457	36.969207763671875	12.0	4.0	51.0
10.811824798583984	22.316146850585938	29.0	53.0	95.0
6.377498626708984	9.936965942382812	98.0	92.0	92.0
11.913022994995117	33.127838134765625	15.0	56.0	8.0
8.550148010253906	22.67715072631836	0.0	76.0	78.0
6.698365211486816	6.231876373291016	112.0	89.0	68.0
22.57691192626953	18.714468002319336	66.0	52.0	0.0
1.857679843902588	19.07157325744629	11.0	117.0	91.0
8.707468032836914	18.891464233398438	16.0	111.0	42.0
14.98872184753418	3.354724407196045	108.0	50.0	52.0
20.20098304748535	28.037078857421875	51.0	29.0	11.0
11.079559326171875	3.883561372756958	120.0	65.0	62.0
24.329286575317383	21.512020111083984	80.0	6.0	11.0
13.509969711303711	10.528840065002441	92.0	24.0	119.0
9.045577049255371	36.438533782958984	12.0	40.0	7.0
16.593656539916992	4.639427185058594	93.0	81.0	1.0
20.707195281982422	6.522698402404785	95.0	49.0	16.0
9.403193473815918	30.737356185913086	16.0	16.0	87.0
20.15821647644043	23.19314956665039	57.0	16.0	57.0
16.670873641967773	18.402042388916016	53.0	45.0	72.0
14.453240394592285	23.322372436523438	30.0	60.0	56.0
16.506532669067383	32.83071517944336	41.0	15.0	21.0
17.386165618896484	3.0517280101776123	109.0	53.0	27.0
11.735363960266113	32.73343276977539	17.0	37.0	39.0
12.766901969909668	25.562700271606445	19.0	65.0	50.0
19.02920150756836	26.145063400268555	53.0	4.0	63.0
9.837823867797852	12.838190078735352	52.0	112.0	38.0
19.70465850830078	3.869847536087036	111.0	51.0	10.0
7.147047996520996	15.098224639892578	66.0	94.0	101.0
10.860555648803711	22.84597396850586	4.0	90.0	42.0
14.899042129516602	33.73285675048828	38.0	4.0	37.0
15.21817684173584	33.111167907714844	39.0	2.0	43.0
13.13253116607666	26.96933937072754	15.0	82.0	14.0
20.30221939086914	28.244892120361328	52.0	28.0	8.0
11.729620933532715	22.6331787109375	0.0	112.0	1.0
8.503829956054688	22.737342834472656	29.0	46.0	119.0
13.931249618530273	27.76662826538086	28.0	32.0	68.0
16.51736068725586	9.290250778198242	82.0	51.0	63.0
9.817950248718262	24.357357025146484	21.0	48.0	96.0
13.437498092651367	19.276052474975586	55.0	26.0	116.0
7.161787033081055	16.166912078857422	34.0	112.0	61.0
12.960615158081055	9.544211387634277	95.0	29.0	116.0
16.133344650268555	7.632053375244141	83.0	69.0	38.0
5.53012752532959	19.62749671936035	35.0	89.0	112.0
7.797779560089111	10.424586296081543	97.0	78.0	107.0
22.245574951171875	13.86464786529541	75.0	57.0	3.0
9.995777130126953	22.359134674072266	14.0	84.0	59.0
18.70242691040039	29.80657386779785	47.0	17.0	28.0
4.991189479827881	13.977323532104492	119.0	120.0	99.0
12.200094223022461	21.6968994140625	17.0	108.0	9.0
17.990327835083008	8.999704360961914	78.0	78.0	12.0
13.507258415222168	22.859683990478516	20.0	103.0	1.0
15.77767562866211	8.769881248474121	90.0	33.0	87.0
8.341463088989258	37.67163848876953	18.0	17.0	20.0
14.424022674560547	14.399231910705566	66.0	48.0	91.0
12.708866119384766	28.423049926757812	0.0	82.0	6.0
18.061613082885742	24.974140167236328	38.0	61.0	16.0
12.206077575683594	31.025850296020508	2.0	67.0	11.0
14.005023956298828	5.007986545562744	93.0	70.0	42.0
1.6862740516662598	19.858678817749023	12.0	111.0	101.0
20.66351318359375	7.564818382263184	109.0	2.0	69.0
11.93918228149414	2.1609039306640625	103.0	82.0	22.0
7.194753170013428	8.920341491699219	104.0	79.0	100.0
22.095365524291992	15.465744018554688	78.0	17.0	54.0
22.897418975830078	15.260191917419434	80.0	19.0	43.0
